,News Account,News Text,News Created Date,News id,News Account id,Retweet Count,Like Count,Followers Count,News Compound,News Positive,News Neutral,News Negative,News Tweets Ago
0,@ABC,Judge rejects Pres. Trump lawyer's request to keep seized records from being accessed by investigators. ,Apr 17,986132923333083136,28785486,35,89,13926300,-0.4939,0.0,0.833,0.167,1
1,@ABC,Shocking surveillance video appears to show a woman riding a motorized scooter through a grocery store and allegedly snatching a purse before getting up and walking out of the store with it. ,Apr 17,986130568344719361,28785486,61,36,13926300,-0.4019,0.0,0.915,0.085,2
2,@ABC,"Four-month-old baby polar bear Nanook explores her surroundings for the first time at the Gelsenkirchen Zoo, under the watchful eye of her mother. ",Apr 17,986129523249999872,28785486,57,189,13926300,0.0,0.0,1.0,0.0,3
3,@ABC,"Mother includes her ""mini lawyers"" in photo celebrating law school graduation: ""Each one of them played a major role in law school with me."" ",Apr 17,986125122410045440,28785486,50,248,13926300,0.7269,0.21,0.79,0.0,4
4,@ABC,"Stunning video shows a pod of orcas swimming off the coast of San Diego, California. Orcas do not typically swim close to the coastline, making for an especially majestic sight. ",Apr 17,986120871810076672,28785486,110,302,13926300,0.3818,0.08,0.92,0.0,5
5,@ABC,Spencer the therapeutic dog braved the rain and cold to continue tradition of cheering on runners at the Boston Marathon for the third consecutive year! ,Apr 17,986116517543673857,28785486,373,1504,13926300,0.7574,0.206,0.794,0.0,6
6,@ABC,“God has a dad’s heart”: Heartwarming video shows Pope Francis comforting a child who asked him whether or not his atheist father could go to Heaven. ,Apr 17,986111762851299330,28785486,192,653,13926300,0.8442,0.283,0.717,0.0,7
7,@ABC,"Aerial footage shows extent of severe flooding on the Hawaiian island of Kauai, prompting a US Coast Guard response after heavy thunderstorms over the weekend. ",Apr 17,986107312942321666,28785486,140,194,13926300,-0.3818,0.0,0.906,0.094,8
8,@ABC,"Two baby koalas – one abandoned by his mother, and the other born underweight – are finally released back into the wild after spending a year being nurtured back to health in the safety of a refuge in Australia. Good luck, Scirocco and Morton! ",Apr 17,986103007740878848,28785486,147,570,13926300,0.8356,0.229,0.713,0.058,9
9,@ABC,"15 year old gorilla Calaya gives birth to her baby boy Moke and showers the newborn with kisses.

Moke is the first male western lowland gorilla born at the Smithsonian’s National Zoo in nine years. ",Apr 17,986098598222983168,28785486,745,2561,13926300,0.4939,0.084,0.888,0.028,10
10,@ABC,"Cosby accuser says she settled civil suit because she ""wanted to get it over with."" ",Apr 17,986093919766278144,28785486,18,54,13926300,0.0,0.0,1.0,0.0,11
11,@ABC,"Kendrick Lamar wins Pulitzer Prize for ""Damn,"" the first nonclassical or jazz album ever to win the prestigious honor. ",Apr 17,986090135795195904,28785486,197,673,13926300,0.9325,0.452,0.548,0.0,12
12,@ABC,It will soon be up to a New York City jury to decide if a nanny accused of stabbing two young children to death is guilty of murder or not guilty by reason of insanity. ,Apr 17,986089645162352640,28785486,29,48,13926300,-0.9643,0.0,0.591,0.409,13
13,@ABC,Top social networking site in China announces it will no longer censor content related to gay issues after public outcry. ,Apr 17,986084620683890693,28785486,87,264,13926300,-0.7717,0.064,0.636,0.3,14
14,@ABC,Homebuilder confidence slides for fourth consecutive month amid steadily rising mortgage rates and sky-high home prices. ,Apr 17,986084104373403648,28785486,39,44,13926300,0.5106,0.163,0.837,0.0,15
15,@ABC,Man convicted of using online aliases to discredit his father's detractors in a debate over the Dead Sea Scrolls spared jail time in unusual case. ,Apr 17,986068955575017472,28785486,23,41,13926300,-0.6486,0.0,0.853,0.147,16
16,@ABC,Spencer the therapeutic dog braved the rain and cold to continue tradition of cheering on runners at the Boston Marathon for the third consecutive year! ,Apr 17,986064311989735424,28785486,2077,8943,13926300,0.7574,0.206,0.794,0.0,17
17,@ABC,"Contaminated chopped romaine lettuce grown in Yuma, Arizona, likely to blame for E. Coli outbreak that has infected 35 people across 11 states, CDC says. ",Apr 17,986060202368790528,28785486,143,92,13926300,-0.6808,0.0,0.817,0.183,18
18,@ABC,Vice Pres. Mike Pence's pick for his national security adviser steps aside amid report Pres. Trump had sought to block his hiring. ,Apr 17,986059197916831746,28785486,72,109,13926300,-0.128,0.088,0.806,0.106,19
19,@ABC,"A Wisconsin man blew himself up inside his apartment, which was allegedly loaded with white supremacist literature, weapons, explosives and highly volatile chemicals. ",Apr 17,986057174802731008,28785486,175,234,13926300,-0.34,0.057,0.833,0.11,20
20,@ABC,Columbia University is moving ahead with a scholarship program for Syrian college students displaced by civil war. ,Apr 17,986057170155384833,28785486,98,441,13926300,-0.5994,0.0,0.813,0.187,21
21,@ABC,".@GStephanopoulos: “What part of you is thinking, ‘I helped elect Donald Trump?’” 
 
@Comey: “A whole lot of me was thinking, ‘Oh my God, did we have some role in this? Did we have some impact on the election?’” ",Apr 17,986056930912325632,28785486,34,94,13926300,0.3899,0.062,0.938,0.0,22
22,@ABC,"James @Comey: ""The American people can have complete confidence in Robert Mueller."" ",Apr 17,986056408075571201,28785486,56,185,13926300,0.5106,0.191,0.809,0.0,23
23,@ABC,".@GStephanopoulos: “Was President Trump obstructing justice?”
 
@Comey: “Possibly. I mean it’s certainly some evidence of obstruction of justice.” ",Apr 17,986056407861559296,28785486,38,107,13926300,0.34,0.112,0.888,0.0,24
24,@ABC,"Could the Russians have something on Pres. Trump? What would happen if Robert Mueller is fired?

Major moments from James Comey's explosive interview with @GStephanopoulos. ",Apr 17,986055155949940736,28785486,32,92,13926300,-0.6072,0.0,0.868,0.132,25
25,@ABC,"James @Comey calls the Trump presidency a ""forest fire.""

""His presidency is doing, and will do, tremendous damage to our norms and our values, especially the truth. And so that's bad."" ",Apr 17,986050229714735104,28785486,119,360,13926300,0.2682,0.137,0.78,0.083,26
26,@ABC,".@Comey: ""Our president must embody, respect and adhere to the values that are at the core of this country, the most important being truth. This president is not able to do that."" ",Apr 17,986046177144688640,28785486,176,505,13926300,0.8576,0.258,0.742,0.0,27
27,@ABC,"Stunning video shows a pod of orcas swimming off the coast of San Diego, California. Orcas do not typically swim close to the coastline, making for an especially majestic sight. ",Apr 17,986041772693434368,28785486,383,1230,13926300,0.3818,0.08,0.92,0.0,28
28,@ABC,"Harry Anderson, best known for playing an off-the-wall judge in the comedy series ""Night Court,"" has passed away at 65. ",Apr 17,986037746782425089,28785486,293,574,13926300,0.8176,0.309,0.691,0.0,29
29,@ABC,".@Comey suggests impeaching Pres. Trump would ""let the American people off the hook.""

“People in this country need to stand up and go to the voting booth and vote their values,"" he tells @GStephanopoulos. ",Apr 17,986035282725220352,28785486,77,277,13926300,0.0,0.0,1.0,0.0,30
30,@ABC,President Trump touts GOP's tax cuts in roundtable with Hispanic business leaders. ,Apr 17,986033765209247744,28785486,22,45,13926300,-0.3182,0.0,0.784,0.216,31
31,@ABC,"R. Lee Ermey, a former Marine who made a career in Hollywood playing hard-nosed military men like Gunnery Sgt. Hartman in Stanley Kubrick's ""Full Metal Jacket,"" has died. He was 74. ",Apr 16,986031199440293888,28785486,87,257,13926300,-0.0772,0.12,0.78,0.1,32
32,@ABC,Two surfers off western Australian coast lucky to be alive after getting attacked by sharks. ,Apr 16,986026635567747073,28785486,32,85,13926300,0.34,0.241,0.625,0.134,33
33,@ABC,Adorable koala rescued from a raging brush fire in Australia doesn’t want to get wrapped up in its rescuing firefighter’s coat. ,Apr 16,986022336762646528,28785486,217,964,13926300,0.128,0.243,0.565,0.193,34
34,@ABC,"As Oklahoma teachers declared victory after a nine-day school walkout, their Colorado counterparts were poised to stage their own labor action. ",Apr 16,986016158510927872,28785486,55,206,13926300,-0.0772,0.082,0.823,0.095,35
35,@ABC,Dramatic video shows a hot air balloon making an emergency landing in a San Diego neighborhood. Emergency services and good Samaritans helped to keep the basket steady as the 14 passengers exited safely. No one was injured. ,Apr 16,986008283835191297,28785486,153,415,13926300,-0.4588,0.129,0.657,0.214,36
36,@ABC,"NEW: Bipartisan group of senators introduce proposing updated Authorization for Use of Military Force.

“For too long, Congress has given Presidents a blank check to wage war."" ",Apr 16,986006014188314630,28785486,132,260,13926300,0.0,0.0,1.0,0.0,37
37,@ABC,Sean Hannity disputes claim he was a client of Michael Cohen's—an assertion Cohen’s lawyers made in court during surprising turn in legal spat over records seized by FBI. ,Apr 16,986003340235608064,28785486,87,137,13926300,0.128,0.114,0.82,0.066,38
38,@ABC,MORE: Federal judge says she has faith in prosecution “taint team” with possible role for a special master to review Michael Cohen documents.,Apr 16,986002591057350657,28785486,65,163,13926300,0.3182,0.199,0.686,0.116,39
